Epoch, South, Bus, temp
1443926556, 141.700326086957, 112.206164383562, 39.0
1443926708, 141.856195652174, 112.203150684932, 39.0
1443927008, 141.771630434783, 112.200410958904, 38.5
1443927308, 141.826847826087, 112.180410958904, 38.5
1443927608, 141.671739130435, 112.15095890411, 38.5
1443927908, 141.620760869565, 112.109452054795, 38.5
1443928208, 141.588369565217, 112.108082191781, 37.9
1443928508, 141.575543478261, 112.118219178082, 37.9
1443928808, 141.6025, 112.09301369863, 37.9
1443929108, 141.652065217391, 112.069726027397, 37.9
1443929408, 141.5825, 112.056301369863, 37.9
1443929708, 141.581413043478, 112.027534246575, 37.9
1443930008, 141.531304347826, 112.011917808219, 37.4
1443930308, 141.589565217391, 111.994383561644, 36.9
1443930608, 141.582173913043, 111.970547945205, 37.4
1443930908, 141.600217391304, 111.944931506849, 36.9
1443931208, 141.514565217391, 111.921917808219, 35.8
1443931508, 141.484456521739, 111.904794520548, 36.9
1443931808, 141.5625, 111.906575342466, 36.3
1443932108, 141.512717391304, 111.876164383562, 35.8
1443932408, 141.523260869565, 111.859863013699, 35.8
1443932708, 141.564891304348, 111.840821917808, 36.3
1443933008, 141.585, 111.827534246575, 35.2
1443933308, 141.455217391304, 111.808219178082, 35.2
1443933608, 141.457608695652, 111.791917808219, 35.8
1443933908, 141.469782608696, 111.77397260274, 34.7
1443934208, 141.46847826087, 111.762465753425, 34.7
1443934508, 141.447717391304, 111.744520547945, 35.2
1443934808, 141.37152173913, 111.80698630137, 34.7
1443935108, 141.547826086957, 111.724794520548, 34.2
1443935408, 141.340543478261, 111.706301369863, 34.7
1443935708, 141.339782608696, 111.693698630137, 34.2
1443936008, 141.450652173913, 111.686301369863, 34.2
1443936308, 141.424347826087, 111.677534246575, 33.6
1443936608, 141.370652173913, 111.653835616438, 33.6
1443936908, 141.41347826087, 111.645890410959, 33.6
1443937208, 141.44152173913, 111.644657534247, 33.6
1443937508, 141.39347826087, 111.624931506849, 33.6
1443937808, 141.345869565217, 111.616438356164, 33.6
1443938108, 141.358586956522, 111.602876712329, 33.6
1443938408, 141.362826086957, 111.601232876712, 33.6
1443938708, 141.381739130435, 111.58602739726, 33.6
1443939008, 141.315869565217, 111.573287671233, 33.6
1443939308, 141.38097826087, 111.579863013699, 33.6
1443939608, 141.380543478261, 111.565342465753, 33.6
1443939908, 141.369782608696, 111.572739726027, 33.1
1443940208, 141.42347826087, 111.571369863014, 33.6
1443940508, 141.397934782609, 111.558904109589, 33.6
1443940808, 141.436086956522, 111.559452054795, 33.1
1443941108, 141.353369565217, 111.55397260274, 33.1
1443941408, 141.393695652174, 111.552465753425, 32.6
1443941708, 141.455326086957, 111.550410958904, 33.1
1443942008, 141.389673913043, 111.550684931507, 32.6
1443942308, 141.515217391304, 111.518904109589, 32.6
1443942608, 141.295543478261, 111.583424657534, 33.1
1443942908, 141.335652173913, 111.592876712329, 32.6
1443943208, 141.497173913043, 111.514794520548, 32.0
1443943508, 141.462173913043, 111.578082191781, 32.6
1443943808, 141.470543478261, 111.480136986301, 31.5
1443944108, 141.444565217391, 111.497260273973, 32.6
1443944408, 141.438695652174, 111.581232876712, 32.0
1443944708, 141.312934782609, 111.62698630137, 32.6
1443945008, 141.358260869565, 111.702465753425, 33.6
1443945308, 141.154456521739, 111.640821917808, 33.6
1443945608, 141.534239130435, 111.774383561644, 33.6
1443945908, 141.453804347826, 111.801780821918, 34.2
1443946208, 141.465652173913, 111.769726027397, 34.2
1443946508, 141.457826086957, 111.880273972603, 34.7
1443946808, 141.443586956522, 111.858904109589, 34.7
1443947109, 141.386195652174, 111.916712328767, 34.7
1443947408, 141.460543478261, 111.957671232877, 35.2
1443947708, 141.417065217391, 111.940136986301, 35.2
1443948008, 141.528043478261, 111.975205479452, 35.8
1443948308, 141.57152173913, 112.001095890411, 35.8
1443948608, 141.555, 111.987397260274, 35.8
1443948908, 141.553695652174, 112.011232876712, 35.8
1443949208, 141.627717391304, 112.036712328767, 35.8
1443949508, 141.586304347826, 112.009178082192, 35.8
1443949808, 141.632282608696, 112.028904109589, 35.8
1443950108, 141.654673913043, 112.031917808219, 35.8
1443950408, 141.61152173913, 112.007945205479, 35.8
1443950708, 141.530543478261, 111.99904109589, 35.8
1443951008, 141.580108695652, 112.029452054795, 35.2
1443951308, 141.448369565217, 112.000410958904, 35.2
1443951608, 141.546630434783, 112.034794520548, 35.8
1443951908, 141.486847826087, 112.015890410959, 35.8
1443952208, 141.584456521739, 112.032191780822, 35.8
1443952508, 141.566956521739, 112.059863013699, 35.8
1443952808, 141.267608695652, 111.878219178082, 34.7
1443953108, 141.55097826087, 112.068356164384, 35.8
1443953408, 141.527934782609, 112.062191780822, 35.2
1443953708, 141.561847826087, 112.061369863014, 35.8
1443954008, 141.537065217391, 112.061780821918, 35.8
1443954309, 141.585869565217, 112.08095890411, 35.8
1443954608, 141.096195652174, 111.954383561644, 35.8
1443954908, 141.472608695652, 112.093561643836, 35.8
1443955208, 141.413369565217, 112.102876712329, 35.8
1443955508, 141.506413043478, 112.10397260274, 35.8
1443955808, 141.448043478261, 112.107123287671, 36.9
1443956108, 141.566630434783, 112.110684931507, 36.3
1443956408, 141.469673913043, 112.108904109589, 36.9
1443956708, 141.533152173913, 112.113150684932, 36.9
1443957008, 141.526195652174, 112.114109589041, 36.9
1443957308, 141.468152173913, 112.109863013699, 35.8
1443957608, 141.584239130435, 112.104109589041, 35.8
1443957908, 141.458152173913, 112.154794520548, 35.8
1443958208, 141.467608695652, 112.07, 35.8
1443958508, 141.533913043478, 112.115205479452, 35.2
1443958808, 141.466847826087, 112.041780821918, 34.7
1443959108, 141.50097826087, 112.003835616438, 34.7
1443959408, 141.463586956522, 111.985342465753, 35.2
1443959708, 141.462826086957, 111.96301369863, 34.7
1443960008, 141.421304347826, 112.022191780822, 34.2
1443960308, 141.441847826087, 111.923287671233, 34.7
1443960608, 141.379782608696, 111.901506849315, 34.7
1443960908, 141.366195652174, 111.880684931507, 33.6
1443961208, 141.375108695652, 111.863287671233, 33.6
1443961508, 141.340652173913, 111.854109589041, 33.6
1443961808, 141.335760869565, 111.83, 33.1
1443962108, 141.232717391304, 111.894520547945, 33.6
1443962408, 141.274130434783, 111.82, 32.6
1443962708, 141.321413043478, 111.799726027397, 33.6
1443963008, 141.239130434783, 111.785890410959, 33.1
1443963308, 141.232282608696, 111.762739726027, 33.1
1443963608, 141.26402173913, 111.760410958904, 32.6
1443963908, 141.244565217391, 111.751369863014, 32.0
1443964208, 141.280869565217, 111.740547945205, 32.6
1443964508, 141.182173913043, 111.730410958904, 32.0
1443964808, 141.28402173913, 111.712465753425, 32.0
1443965108, 141.225652173913, 111.694657534247, 31.5
1443965408, 141.270760869565, 111.682739726027, 31.5
1443965708, 141.175326086957, 111.736575342466, 31.5
1443966008, 141.158260869565, 111.651232876712, 31.5
1443966308, 141.09652173913, 111.63301369863, 32.0
1443966608, 141.238913043478, 111.620684931507, 32.0
1443966908, 141.122608695652, 111.609452054795, 31.5
1443967208, 141.088260869565, 111.592328767123, 31.5
1443967508, 141.155217391304, 111.57, 31.5
1443967808, 141.139347826087, 111.546712328767, 31.5
1443968108, 141.079565217391, 111.518082191781, 31.5
1443968408, 141.039456521739, 111.523287671233, 30.9
1443968708, 141.076086956522, 111.518767123288, 30.4
1443969008, 141.063152173913, 111.560273972603, 30.9
1443969308, 141.161304347826, 111.49698630137, 31.5
1443969608, 141.042282608696, 111.488219178082, 31.5
1443969908, 141.207065217391, 111.489863013699, 30.9
1443970208, 141.041739130435, 111.470684931507, 30.4
1443970508, 141.048043478261, 111.457397260274, 30.4
1443970808, 141.068586956522, 111.435068493151, 30.4
1443971108, 140.971086956522, 111.373561643836, 31.5
1443971408, 141.068152173913, 111.302876712329, 31.5
1443971708, 140.866956521739, 111.200684931507, 30.9
1443972008, 140.964782608696, 111.132054794521, 30.9
1443972308, 141.045760869565, 111.11904109589, 31.5
1443972608, 141.02097826087, 111.152054794521, 31.5
1443972908, 141.115, 111.232602739726, 31.5
1443973208, 141.089239130435, 111.266301369863, 32.0
1443973508, 141.12402173913, 111.228767123288, 32.0
1443973808, 141.288586956522, 111.285479452055, 32.6
1443974108, 141.11652173913, 111.27301369863, 32.0
1443974408, 141.249891304348, 111.343561643836, 32.6
1443974708, 141.061847826087, 111.276712328767, 33.1
1443975008, 141.1775, 111.291506849315, 33.6
1443975308, 141.063913043478, 111.306164383562, 33.6
1443975608, 141.16597826087, 111.302602739726, 33.6
1443975908, 141.134673913043, 111.282054794521, 33.6
1443976208, 141.113586956522, 111.323287671233, 34.2
1443976508, 141.171304347826, 111.322465753425, 33.6
1443976808, 141.099130434783, 111.327397260274, 34.2
1443977108, 141.041304347826, 111.301095890411, 33.6
1443977408, 141.01152173913, 111.327534246575, 33.6
1443977708, 141.073043478261, 111.318082191781, 34.2
1443978008, 141.060108695652, 111.298630136986, 34.7
1443978308, 141.040434782609, 111.321095890411, 34.7
1443978608, 141.030434782609, 111.305479452055, 34.7
1443978908, 141.004565217391, 111.323424657534, 34.7
1443979208, 140.876739130435, 111.314383561644, 34.7
1443979508, 141.038804347826, 111.293150684932, 35.8
1443979808, 140.975652173913, 111.331780821918, 35.8
1443980108, 140.869239130435, 111.333424657534, 35.8
1443980408, 141.001847826087, 111.366301369863, 35.8
1443980708, 140.863152173913, 111.373424657534, 35.8
1443981008, 140.813804347826, 111.43602739726, 35.8
1443981308, 140.830543478261, 111.439315068493, 36.3
1443981608, 140.891956521739, 111.471369863014, 36.9
1443981908, 140.888152173913, 111.479589041096, 36.9
1443982208, 140.915434782609, 111.567123287671, 36.9
1443982508, 140.906739130435, 111.527671232877, 36.9
1443982808, 140.892391304348, 111.599178082192, 37.9
1443983108, 140.977391304348, 111.635616438356, 36.9
1443983408, 140.943804347826, 111.648356164384, 36.9
1443983708, 140.939347826087, 111.753835616438, 37.9
1443984008, 140.967173913043, 111.688493150685, 37.9
1443984308, 141.042173913043, 111.720821917808, 37.9
1443984608, 141.037934782609, 111.739315068493, 37.9
1443984908, 141.020652173913, 111.737808219178, 37.9
1443985208, 140.957391304348, 111.755205479452, 37.9
1443985508, 140.955869565217, 111.764383561644, 38.5
1443985808, 140.822826086957, 111.762465753425, 39.0
1443986108, 140.900108695652, 111.790547945205, 39.0
1443986408, 140.882173913043, 111.770136986301, 39.0
1443986708, 140.891630434783, 111.746575342466, 38.5
1443987008, 140.87402173913, 111.748082191781, 39.0
1443987308, 140.85597826087, 111.740547945205, 39.0
1443987608, 140.826630434783, 111.69397260274, 39.0
1443987908, 140.765652173913, 111.69602739726, 39.0
1443988208, 140.765, 111.706575342466, 39.0
1443988508, 140.706086956522, 111.680410958904, 39.0
1443988808, 140.729456521739, 111.670136986301, 39.5
1443989108, 140.632391304348, 111.684520547945, 40.1
1443989408, 140.494456521739, 111.655753424658, 40.1
1443989708, 140.51, 111.660136986301, 39.5
1443990008, 140.48597826087, 111.679315068493, 40.1
1443990308, 140.365108695652, 111.677123287671, 40.6
1443990608, 140.339782608696, 111.658767123288, 40.1
1443990908, 140.490652173913, 111.703835616438, 41.2
1443991208, 140.337391304348, 111.694246575342, 41.2
1443991508, 140.383804347826, 111.69904109589, 41.2
1443991808, 140.311195652174, 111.77095890411, 41.2
1443992108, 140.254130434783, 111.651506849315, 41.2
1443992408, 140.216847826087, 111.723698630137, 41.7
1443992708, 140.352065217391, 111.72698630137, 41.7
1443993008, 140.194782608696, 111.702602739726, 42.2
1443993308, 140.284565217391, 111.72904109589, 42.2
1443993608, 140.289239130435, 111.707123287671, 41.7
1443993908, 140.294347826087, 111.757397260274, 42.2
1443994208, 140.413043478261, 111.734931506849, 42.2
1443994508, 140.244673913043, 111.714794520548, 42.2
1443994808, 140.340326086957, 111.73095890411, 42.2
1443995108, 140.359891304348, 111.69904109589, 42.2
1443995408, 140.284673913043, 111.701095890411, 42.8
1443995708, 140.4, 111.701095890411, 42.8
1443996008, 140.368804347826, 111.688630136986, 42.2
1443996308, 140.362282608696, 111.706849315068, 42.8
1443996608, 140.345434782609, 111.722328767123, 43.3
1443996908, 140.276739130435, 111.712465753425, 43.3
1443997208, 140.345760869565, 111.824794520548, 43.3
1443997509, 140.436304347826, 111.730684931507, 43.3
1443997808, 140.268804347826, 111.72095890411, 43.3
1443998108, 140.297608695652, 111.77602739726, 43.3
1443998408, 140.387173913043, 111.796712328767, 43.3
1443998708, 140.287717391304, 111.871369863014, 43.3
1443999008, 140.371195652174, 111.788219178082, 43.3
1443999308, 140.381086956522, 111.81698630137, 43.3
1443999608, 140.464347826087, 111.81602739726, 43.9
